PurchaseOrderID,PurchaseOrderLineID,ReceivedOuters,ExpectedUnitPricePerOuter,OrderDate,SupplierID
26,204,23,8.0,2019-01-07,4
26,205,34,8.0,2019-01-07,4
26,206,22,8.0,2019-01-07,4
26,207,26,18.0,2019-01-07,4
27,208,26,4.5,2019-01-07,5
27,209,35,4.5,2019-01-07,5
27,210,40,4.5,2019-01-07,5
27,211,27,4.5,2019-01-07,5
27,212,31,4.5,2019-01-07,5
27,213,26,4.5,2019-01-07,5
28,214,14,170.0,2019-01-07,7
29,215,83,12.5,2019-01-07,10
3,38,28,4.5,2019-01-01,5
3,39,46,4.5,2019-01-01,5
3,40,36,4.5,2019-01-01,5
3,41,35,4.5,2019-01-01,5
3,42,36,4.5,2019-01-01,5
3,43,38,4.5,2019-01-01,5
3,44,30,4.5,2019-01-01,5
3,45,35,4.5,2019-01-01,5
3,46,43,4.5,2019-01-01,5
3,47,41,4.5,2019-01-01,5
3,48,40,4.5,2019-01-01,5
3,49,29,4.5,2019-01-01,5
3,50,42,4.5,2019-01-01,5
3,51,49,4.5,2019-01-01,5
3,52,43,4.5,2019-01-01,5
3,53,38,4.5,2019-01-01,5
30,216,101,12.0,2019-01-07,12
30,217,97,12.0,2019-01-07,12
31,218,4,170.0,2019-01-08,7
31,219,9,1140.0,2019-01-08,7
32,220,2,84.0,2019-01-09,4
33,221,28,4.5,2019-01-09,5
34,222,2,170.0,2019-01-09,7
34,223,9,1140.0,2019-01-09,7
35,224,55,155.0,2019-01-09,10
36,225,3,84.0,2019-01-10,4
36,226,7,90.0,2019-01-10,4
36,227,22,8.0,2019-01-10,4
36,228,23,8.0,2019-01-10,4
37,229,32,4.5,2019-01-10,5
38,230,3,170.0,2019-01-10,7
39,231,6,84.0,2019-01-11,4
39,232,3,84.0,2019-01-11,4
39,233,21,90.0,2019-01-11,4
4,54,11,75.0,2019-01-01,7
4,55,4,560.0,2019-01-01,7
4,56,16,99.0,2019-01-01,7
4,57,8,140.0,2019-01-01,7
4,58,6,590.0,2019-01-01,7
4,59,12,170.0,2019-01-01,7
4,60,10,230.0,2019-01-01,7
4,61,18,450.0,2019-01-01,7
4,62,8,120.0,2019-01-01,7
4,63,16,550.0,2019-01-01,7
4,64,9,160.0,2019-01-01,7
4,65,17,230.0,2019-01-01,7
4,66,4,14.0,2019-01-01,7
4,67,9,15.0,2019-01-01,7
4,68,4,30.0,2019-01-01,7
4,69,3,47.5,2019-01-01,7
4,70,12,64.8,2019-01-01,7
4,71,7,48.0,2019-01-01,7
4,72,4,31.2,2019-01-01,7
4,73,8,40.8,2019-01-01,7
4,74,4,46.8,2019-01-01,7
4,75,4,57.6,2019-01-01,7
4,76,4,49.2,2019-01-01,7
4,77,15,20.4,2019-01-01,7
4,78,13,4.5,2019-01-01,7
4,79,15,6.0,2019-01-01,7
4,80,13,35.0,2019-01-01,7
4,81,8,260.0,2019-01-01,7
40,234,26,4.5,2019-01-11,5
40,235,27,4.5,2019-01-11,5
40,236,42,4.5,2019-01-11,5
40,237,28,4.5,2019-01-11,5
41,238,10,84.0,2019-01-12,4
41,239,3,90.0,2019-01-12,4
42,240,9,170.0,2019-01-12,7
43,241,8,84.0,2019-01-14,4
43,242,16,84.0,2019-01-14,4
43,243,2,96.0,2019-01-14,4
43,244,16,90.0,2019-01-14,4
44,245,33,4.5,2019-01-14,5
45,246,1,170.0,2019-01-14,7
46,247,92,12.5,2019-01-14,10
47,248,9,84.0,2019-01-15,4
47,249,22,84.0,2019-01-15,4
47,250,35,96.0,2019-01-15,4
47,251,17,90.0,2019-01-15,4
48,252,33,4.5,2019-01-15,5
48,253,33,4.5,2019-01-15,5
49,254,88,15.5,2019-01-15,10
5,82,87,12.5,2019-01-01,10
5,83,95,12.5,2019-01-01,10
5,84,95,12.5,2019-01-01,10
5,85,106,15.0,2019-01-01,10
5,86,48,145.0,2019-01-01,10
5,87,43,145.0,2019-01-01,10
5,88,57,145.0,2019-01-01,10
5,89,59,145.0,2019-01-01,10
50,255,6,84.0,2019-01-16,4
50,256,19,84.0,2019-01-16,4
50,257,32,96.0,2019-01-16,4
50,258,11,90.0,2019-01-16,4
51,259,5,84.0,2019-01-17,4
51,260,27,84.0,2019-01-17,4
51,261,31,96.0,2019-01-17,4
51,262,15,90.0,2019-01-17,4
51,263,6,96.0,2019-01-17,4
52,264,13,84.0,2019-01-18,4
52,265,40,84.0,2019-01-18,4
52,266,30,96.0,2019-01-18,4
52,267,21,90.0,2019-01-18,4
52,268,5,96.0,2019-01-18,4
53,269,32,4.5,2019-01-18,5
54,270,9,84.0,2019-01-19,4
55,271,31,4.5,2019-01-19,5
56,272,18,84.0,2019-01-21,4
56,273,37,84.0,2019-01-21,4
56,274,26,96.0,2019-01-21,4
56,275,13,90.0,2019-01-21,4
56,276,1,96.0,2019-01-21,4
57,277,29,84.0,2019-01-22,4
57,278,36,84.0,2019-01-22,4
57,279,25,96.0,2019-01-22,4
57,280,11,90.0,2019-01-22,4
58,281,28,84.0,2019-01-23,4
58,282,49,84.0,2019-01-23,4
58,283,24,96.0,2019-01-23,4
58,284,23,90.0,2019-01-23,4
58,285,7,96.0,2019-01-23,4
59,286,27,84.0,2019-01-24,4
59,287,48,84.0,2019-01-24,4
59,288,28,96.0,2019-01-24,4
59,289,33,90.0,2019-01-24,4
59,290,25,96.0,2019-01-24,4
6,90,83,9.5,2019-01-01,12
6,91,99,12.0,2019-01-01,12
6,92,98,12.0,2019-01-01,12
6,93,102,12.0,2019-01-01,12
6,94,96,12.0,2019-01-01,12
60,291,26,84.0,2019-01-25,4
60,292,47,84.0,2019-01-25,4
60,293,27,96.0,2019-01-25,4
60,294,37,90.0,2019-01-25,4
60,295,24,96.0,2019-01-25,4
61,296,8,84.0,2019-01-26,4
61,297,11,96.0,2019-01-26,4
61,298,8,90.0,2019-01-26,4
62,299,43,205.0,2019-01-26,10
63,300,33,84.0,2019-01-28,4
63,301,48,84.0,2019-01-28,4
63,302,35,96.0,2019-01-28,4
63,303,47,90.0,2019-01-28,4
63,304,21,96.0,2019-01-28,4
64,305,6,170.0,2019-01-28,7
65,306,44,84.0,2019-01-29,4
65,307,46,84.0,2019-01-29,4
65,308,2,84.0,2019-01-29,4
65,309,36,96.0,2019-01-29,4
65,310,47,90.0,2019-01-29,4
65,311,46,96.0,2019-01-29,4
66,312,2,170.0,2019-01-29,7
67,313,50,84.0,2019-01-30,4
67,314,50,84.0,2019-01-30,4
67,315,36,96.0,2019-01-30,4
67,316,45,90.0,2019-01-30,4
67,317,48,96.0,2019-01-30,4
68,318,57,84.0,2019-01-31,4
68,319,53,84.0,2019-01-31,4
68,320,7,84.0,2019-01-31,4
68,321,35,96.0,2019-01-31,4
68,322,43,90.0,2019-01-31,4
68,323,56,96.0,2019-01-31,4
7,95,6,84.0,2019-01-02,4
7,96,4,84.0,2019-01-02,4
7,97,3,90.0,2019-01-02,4
7,98,5,96.0,2019-01-02,4
7,99,6,84.0,2019-01-02,4
7,100,6,84.0,2019-01-02,4
7,101,14,84.0,2019-01-02,4
7,102,1,90.0,2019-01-02,4
7,103,19,90.0,2019-01-02,4
7,104,24,96.0,2019-01-02,4
7,105,9,17.0,2019-01-02,4
7,106,14,17.0,2019-01-02,4
7,107,8,19.0,2019-01-02,4
7,108,8,22.0,2019-01-02,4
7,109,8,24.0,2019-01-02,4
7,110,10,24.0,2019-01-02,4
7,111,31,8.0,2019-01-02,4
7,112,32,8.0,2019-01-02,4
7,113,30,8.5,2019-01-02,4
7,114,25,8.5,2019-01-02,4
8,115,29,4.5,2019-01-02,5
8,116,42,4.5,2019-01-02,5
8,117,31,4.5,2019-01-02,5
8,118,44,4.5,2019-01-02,5
9,119,8,100.0,2019-01-02,7
9,120,15,150.0,2019-01-02,7
9,121,5,27.5,2019-01-02,7
9,122,11,27.5,2019-01-02,7
9,123,7,9.0,2019-01-02,7
9,124,9,44.2,2019-01-02,7
9,125,2,38.4,2019-01-02,7
9,126,16,48.0,2019-01-02,7
9,127,3,36.0,2019-01-02,7
9,128,2,57.6,2019-01-02,7
9,129,3,170.0,2019-01-02,7
9,130,11,170.0,2019-01-02,7
9,131,13,20.4,2019-01-02,7
9,132,16,26.0,2019-01-02,7
9,133,15,20.5,2019-01-02,7
9,134,11,54.0,2019-01-02,7
9,135,5,60.0,2019-01-02,7
457,1778,604,84.0,2019-10-01,4
457,1779,794,84.0,2019-10-01,4
457,1780,361,84.0,2019-10-01,4
457,1781,707,96.0,2019-10-01,4
457,1782,388,90.0,2019-10-01,4
457,1783,757,96.0,2019-10-01,4
458,1784,238,38.4,2019-10-01,7
458,1785,265,170.0,2019-10-01,7
459,1786,602,84.0,2019-10-02,4
459,1787,792,84.0,2019-10-02,4
459,1788,357,84.0,2019-10-02,4
459,1789,705,96.0,2019-10-02,4
459,1790,384,90.0,2019-10-02,4
459,1791,755,96.0,2019-10-02,4
460,1792,236,38.4,2019-10-02,7
460,1793,263,170.0,2019-10-02,7
461,1794,607,84.0,2019-10-03,4
461,1795,799,84.0,2019-10-03,4
461,1796,356,84.0,2019-10-03,4
461,1797,703,96.0,2019-10-03,4
461,1798,397,90.0,2019-10-03,4
461,1799,753,96.0,2019-10-03,4
462,1800,243,38.4,2019-10-03,7
462,1801,262,170.0,2019-10-03,7
463,1802,605,84.0,2019-10-04,4
463,1803,807,84.0,2019-10-04,4
463,1804,352,84.0,2019-10-04,4
463,1805,701,96.0,2019-10-04,4
463,1806,394,90.0,2019-10-04,4
463,1807,757,96.0,2019-10-04,4
464,1808,250,38.4,2019-10-04,7
464,1809,270,170.0,2019-10-04,7
465,1810,1,84.0,2019-10-05,4
465,1811,8,84.0,2019-10-05,4
465,1812,13,90.0,2019-10-05,4
465,1813,4,96.0,2019-10-05,4
466,1814,8,170.0,2019-10-05,7
467,1815,618,84.0,2019-10-07,4
467,1816,835,84.0,2019-10-07,4
467,1817,344,84.0,2019-10-07,4
467,1818,702,96.0,2019-10-07,4
467,1819,404,90.0,2019-10-07,4
467,1820,759,96.0,2019-10-07,4
468,1821,244,38.4,2019-10-07,7
468,1822,276,170.0,2019-10-07,7
469,1823,627,84.0,2019-10-08,4
469,1824,848,84.0,2019-10-08,4
469,1825,340,84.0,2019-10-08,4
469,1826,700,96.0,2019-10-08,4
469,1827,400,90.0,2019-10-08,4
469,1828,776,96.0,2019-10-08,4
470,1829,251,38.4,2019-10-08,7
470,1830,289,170.0,2019-10-08,7
471,1831,631,84.0,2019-10-09,4
471,1832,859,84.0,2019-10-09,4
471,1833,336,84.0,2019-10-09,4
471,1834,705,96.0,2019-10-09,4
471,1835,396,90.0,2019-10-09,4
471,1836,774,96.0,2019-10-09,4
472,1837,253,38.4,2019-10-09,7
472,1838,302,170.0,2019-10-09,7
473,1839,641,84.0,2019-10-10,4
473,1840,864,84.0,2019-10-10,4
473,1841,332,84.0,2019-10-10,4
473,1842,703,96.0,2019-10-10,4
473,1843,411,90.0,2019-10-10,4
473,1844,772,96.0,2019-10-10,4
474,1845,259,38.4,2019-10-10,7
474,1846,301,170.0,2019-10-10,7
475,1847,639,84.0,2019-10-11,4
475,1848,865,84.0,2019-10-11,4
475,1849,342,84.0,2019-10-11,4
475,1850,709,96.0,2019-10-11,4
475,1851,413,90.0,2019-10-11,4
475,1852,783,96.0,2019-10-11,4
476,1853,263,38.4,2019-10-11,7
476,1854,299,170.0,2019-10-11,7
477,1855,6,84.0,2019-10-12,4
477,1856,10,84.0,2019-10-12,4
477,1857,9,96.0,2019-10-12,4
478,1858,655,84.0,2019-10-14,4
478,1859,862,84.0,2019-10-14,4
478,1860,350,84.0,2019-10-14,4
478,1861,715,96.0,2019-10-14,4
478,1862,412,90.0,2019-10-14,4
478,1863,791,96.0,2019-10-14,4
479,1864,259,38.4,2019-10-14,7
479,1865,295,170.0,2019-10-14,7
480,1866,668,84.0,2019-10-15,4
480,1867,860,84.0,2019-10-15,4
480,1868,353,84.0,2019-10-15,4
480,1869,713,96.0,2019-10-15,4
480,1870,427,90.0,2019-10-15,4
480,1871,796,96.0,2019-10-15,4
481,1872,264,38.4,2019-10-15,7
481,1873,293,170.0,2019-10-15,7
482,1874,674,84.0,2019-10-16,4
482,1875,861,84.0,2019-10-16,4
482,1876,362,84.0,2019-10-16,4
482,1877,711,96.0,2019-10-16,4
482,1878,426,90.0,2019-10-16,4
482,1879,803,96.0,2019-10-16,4
483,1880,262,38.4,2019-10-16,7
483,1881,301,170.0,2019-10-16,7
484,1882,672,84.0,2019-10-17,4
484,1883,884,84.0,2019-10-17,4
484,1884,358,84.0,2019-10-17,4
484,1885,709,96.0,2019-10-17,4
484,1886,434,90.0,2019-10-17,4
484,1887,804,96.0,2019-10-17,4
485,1888,260,38.4,2019-10-17,7
485,1889,299,170.0,2019-10-17,7
486,1890,670,84.0,2019-10-18,4
486,1891,882,84.0,2019-10-18,4
486,1892,364,84.0,2019-10-18,4
486,1893,713,96.0,2019-10-18,4
486,1894,430,90.0,2019-10-18,4
486,1895,802,96.0,2019-10-18,4
487,1896,258,38.4,2019-10-18,7
487,1897,298,170.0,2019-10-18,7
488,1898,7,90.0,2019-10-19,4
488,1899,2,96.0,2019-10-19,4
489,1900,4,38.4,2019-10-19,7
489,1901,5,170.0,2019-10-19,7
490,1902,677,84.0,2019-10-21,4
490,1903,878,84.0,2019-10-21,4
490,1904,356,84.0,2019-10-21,4
490,1905,719,96.0,2019-10-21,4
490,1906,433,90.0,2019-10-21,4
490,1907,812,96.0,2019-10-21,4
491,1908,260,38.4,2019-10-21,7
491,1909,301,170.0,2019-10-21,7
492,1910,675,84.0,2019-10-22,4
492,1911,876,84.0,2019-10-22,4
492,1912,359,84.0,2019-10-22,4
492,1913,723,96.0,2019-10-22,4
492,1914,439,90.0,2019-10-22,4
492,1915,810,96.0,2019-10-22,4
493,1916,269,38.4,2019-10-22,7
493,1917,309,170.0,2019-10-22,7
494,1918,674,84.0,2019-10-23,4
494,1919,874,84.0,2019-10-23,4
494,1920,355,84.0,2019-10-23,4
494,1921,723,96.0,2019-10-23,4
494,1922,435,90.0,2019-10-23,4
494,1923,821,96.0,2019-10-23,4
495,1924,276,38.4,2019-10-23,7
495,1925,307,170.0,2019-10-23,7
496,1926,672,84.0,2019-10-24,4
496,1927,873,84.0,2019-10-24,4
496,1928,356,84.0,2019-10-24,4
496,1929,723,96.0,2019-10-24,4
496,1930,435,90.0,2019-10-24,4
496,1931,834,96.0,2019-10-24,4
497,1932,294,38.4,2019-10-24,7
497,1933,310,170.0,2019-10-24,7
498,1934,677,84.0,2019-10-25,4
498,1935,881,84.0,2019-10-25,4
498,1936,359,84.0,2019-10-25,4
498,1937,722,96.0,2019-10-25,4
498,1938,440,90.0,2019-10-25,4
498,1939,844,96.0,2019-10-25,4
499,1940,298,38.4,2019-10-25,7
499,1941,320,170.0,2019-10-25,7
500,1942,5,84.0,2019-10-26,4
500,1943,10,84.0,2019-10-26,4
500,1944,5,96.0,2019-10-26,4
500,1945,8,90.0,2019-10-26,4
500,1946,16,96.0,2019-10-26,4
501,1947,3,38.4,2019-10-26,7
501,1948,8,170.0,2019-10-26,7
502,1949,680,84.0,2019-10-28,4
502,1950,906,84.0,2019-10-28,4
502,1951,363,84.0,2019-10-28,4
502,1952,735,96.0,2019-10-28,4
502,1953,448,90.0,2019-10-28,4
502,1954,867,96.0,2019-10-28,4
503,1955,308,38.4,2019-10-28,7
503,1956,330,170.0,2019-10-28,7
504,1957,690,84.0,2019-10-29,4
504,1958,904,84.0,2019-10-29,4
504,1959,359,84.0,2019-10-29,4
504,1960,740,96.0,2019-10-29,4
504,1961,449,90.0,2019-10-29,4
504,1962,865,96.0,2019-10-29,4
505,1963,306,38.4,2019-10-29,7
505,1964,328,170.0,2019-10-29,7
506,1965,688,84.0,2019-10-30,4
506,1966,912,84.0,2019-10-30,4
506,1967,355,84.0,2019-10-30,4
506,1968,751,96.0,2019-10-30,4
506,1969,445,90.0,2019-10-30,4
506,1970,871,96.0,2019-10-30,4
507,1971,304,38.4,2019-10-30,7
507,1972,344,170.0,2019-10-30,7
508,1973,695,84.0,2019-10-31,4
508,1974,917,84.0,2019-10-31,4
508,1975,351,84.0,2019-10-31,4
508,1976,754,96.0,2019-10-31,4
508,1977,441,90.0,2019-10-31,4
508,1978,869,96.0,2019-10-31,4
509,1979,302,38.4,2019-10-31,7
509,1980,342,170.0,2019-10-31,7
510,1981,703,84.0,2019-11-01,4
510,1982,924,84.0,2019-11-01,4
510,1983,347,84.0,2019-11-01,4
510,1984,752,96.0,2019-11-01,4
510,1985,447,90.0,2019-11-01,4
510,1986,867,96.0,2019-11-01,4
511,1987,305,38.4,2019-11-01,7
511,1988,340,170.0,2019-11-01,7
512,1989,2,84.0,2019-11-02,4
512,1990,2,96.0,2019-11-02,4
512,1991,12,90.0,2019-11-02,4
513,1992,4,170.0,2019-11-02,7
514,1993,699,84.0,2019-11-04,4
514,1994,931,84.0,2019-11-04,4
514,1995,345,84.0,2019-11-04,4
514,1996,752,96.0,2019-11-04,4
514,1997,455,90.0,2019-11-04,4
514,1998,870,96.0,2019-11-04,4
515,1999,303,38.4,2019-11-04,7
515,2000,351,170.0,2019-11-04,7
516,2001,699,84.0,2019-11-05,4
516,2002,929,84.0,2019-11-05,4
516,2003,341,84.0,2019-11-05,4
516,2004,750,96.0,2019-11-05,4
516,2005,453,90.0,2019-11-05,4
516,2006,888,96.0,2019-11-05,4
517,2007,301,38.4,2019-11-05,7
517,2008,352,170.0,2019-11-05,7
518,2009,697,84.0,2019-11-06,4
518,2010,927,84.0,2019-11-06,4
518,2011,357,84.0,2019-11-06,4
518,2012,750,96.0,2019-11-06,4
518,2013,449,90.0,2019-11-06,4
518,2014,896,96.0,2019-11-06,4
519,2015,299,38.4,2019-11-06,7
519,2016,373,170.0,2019-11-06,7
520,2017,695,84.0,2019-11-07,4
520,2018,934,84.0,2019-11-07,4
520,2019,354,84.0,2019-11-07,4
520,2020,748,96.0,2019-11-07,4
520,2021,445,90.0,2019-11-07,4
520,2022,904,96.0,2019-11-07,4
521,2023,297,38.4,2019-11-07,7
521,2024,371,170.0,2019-11-07,7
522,2025,693,84.0,2019-11-08,4
522,2026,939,84.0,2019-11-08,4
522,2027,360,84.0,2019-11-08,4
522,2028,764,96.0,2019-11-08,4
522,2029,452,90.0,2019-11-08,4
522,2030,911,96.0,2019-11-08,4
523,2031,302,38.4,2019-11-08,7
523,2032,369,170.0,2019-11-08,7
524,2033,10,96.0,2019-11-09,4
524,2034,14,96.0,2019-11-09,4
525,2035,690,84.0,2019-11-11,4
525,2036,939,84.0,2019-11-11,4
525,2037,359,84.0,2019-11-11,4
525,2038,776,96.0,2019-11-11,4
525,2039,454,90.0,2019-11-11,4
525,2040,924,96.0,2019-11-11,4
526,2041,306,38.4,2019-11-11,7
526,2042,370,170.0,2019-11-11,7
527,2043,690,84.0,2019-11-12,4
527,2044,944,84.0,2019-11-12,4
527,2045,375,84.0,2019-11-12,4
527,2046,774,96.0,2019-11-12,4
527,2047,458,90.0,2019-11-12,4
527,2048,922,96.0,2019-11-12,4
528,2049,311,38.4,2019-11-12,7
528,2050,377,170.0,2019-11-12,7
529,2051,691,84.0,2019-11-13,4
529,2052,942,84.0,2019-11-13,4
529,2053,371,84.0,2019-11-13,4
529,2054,772,96.0,2019-11-13,4
529,2055,461,90.0,2019-11-13,4
529,2056,930,96.0,2019-11-13,4
530,2057,319,38.4,2019-11-13,7
530,2058,381,170.0,2019-11-13,7
531,2059,689,84.0,2019-11-14,4
531,2060,940,84.0,2019-11-14,4
531,2061,367,84.0,2019-11-14,4
531,2062,775,96.0,2019-11-14,4
531,2063,463,90.0,2019-11-14,4
531,2064,928,96.0,2019-11-14,4
532,2065,319,38.4,2019-11-14,7
532,2066,379,170.0,2019-11-14,7
533,2067,710,84.0,2019-11-15,4
533,2068,950,84.0,2019-11-15,4
533,2069,368,84.0,2019-11-15,4
533,2070,778,96.0,2019-11-15,4
533,2071,467,90.0,2019-11-15,4
533,2072,935,96.0,2019-11-15,4
534,2073,321,38.4,2019-11-15,7
534,2074,390,170.0,2019-11-15,7
535,2075,4,84.0,2019-11-16,4
535,2076,3,84.0,2019-11-16,4
535,2077,6,90.0,2019-11-16,4
536,2078,721,84.0,2019-11-18,4
536,2079,955,84.0,2019-11-18,4
536,2080,374,84.0,2019-11-18,4
536,2081,783,96.0,2019-11-18,4
536,2082,494,90.0,2019-11-18,4
536,2083,932,96.0,2019-11-18,4
537,2084,327,38.4,2019-11-18,7
537,2085,393,170.0,2019-11-18,7
538,2086,738,84.0,2019-11-19,4
538,2087,953,84.0,2019-11-19,4
538,2088,386,84.0,2019-11-19,4
538,2089,781,96.0,2019-11-19,4
538,2090,496,90.0,2019-11-19,4
538,2091,942,96.0,2019-11-19,4
539,2092,342,38.4,2019-11-19,7
539,2093,414,170.0,2019-11-19,7
540,2094,740,84.0,2019-11-20,4
540,2095,954,84.0,2019-11-20,4
540,2096,393,84.0,2019-11-20,4
540,2097,779,96.0,2019-11-20,4
540,2098,503,90.0,2019-11-20,4
540,2099,963,96.0,2019-11-20,4
541,2100,340,38.4,2019-11-20,7
541,2101,428,170.0,2019-11-20,7
542,2102,754,84.0,2019-11-21,4
542,2103,958,84.0,2019-11-21,4
542,2104,395,84.0,2019-11-21,4
542,2105,792,96.0,2019-11-21,4
542,2106,499,90.0,2019-11-21,4
542,2107,961,96.0,2019-11-21,4
543,2108,338,38.4,2019-11-21,7
543,2109,434,170.0,2019-11-21,7
544,2110,762,84.0,2019-11-22,4
544,2111,956,84.0,2019-11-22,4
544,2112,400,84.0,2019-11-22,4
544,2113,790,96.0,2019-11-22,4
544,2114,506,90.0,2019-11-22,4
544,2115,968,96.0,2019-11-22,4
545,2116,346,38.4,2019-11-22,7
545,2117,432,170.0,2019-11-22,7
546,2118,3,84.0,2019-11-23,4
547,2119,759,84.0,2019-11-25,4
547,2120,959,84.0,2019-11-25,4
547,2121,397,84.0,2019-11-25,4
547,2122,787,96.0,2019-11-25,4
547,2123,500,90.0,2019-11-25,4
547,2124,970,96.0,2019-11-25,4
548,2125,352,38.4,2019-11-25,7
548,2126,428,170.0,2019-11-25,7
549,2127,761,84.0,2019-11-26,4
549,2128,957,84.0,2019-11-26,4
549,2129,393,84.0,2019-11-26,4
549,2130,799,96.0,2019-11-26,4
549,2131,496,90.0,2019-11-26,4
549,2132,974,96.0,2019-11-26,4
550,2133,354,38.4,2019-11-26,7
550,2134,439,170.0,2019-11-26,7
551,2135,759,84.0,2019-11-27,4
551,2136,955,84.0,2019-11-27,4
551,2137,389,84.0,2019-11-27,4
551,2138,805,96.0,2019-11-27,4
551,2139,492,90.0,2019-11-27,4
551,2140,972,96.0,2019-11-27,4
552,2141,352,38.4,2019-11-27,7
552,2142,445,170.0,2019-11-27,7
553,2143,762,84.0,2019-11-28,4
553,2144,962,84.0,2019-11-28,4
553,2145,387,84.0,2019-11-28,4
553,2146,806,96.0,2019-11-28,4
553,2147,505,90.0,2019-11-28,4
553,2148,970,96.0,2019-11-28,4
554,2149,350,38.4,2019-11-28,7
554,2150,449,170.0,2019-11-28,7
555,2151,760,84.0,2019-11-29,4
555,2152,977,84.0,2019-11-29,4
555,2153,390,84.0,2019-11-29,4
555,2154,804,96.0,2019-11-29,4
555,2155,501,90.0,2019-11-29,4
555,2156,974,96.0,2019-11-29,4
556,2157,348,38.4,2019-11-29,7
556,2158,457,170.0,2019-11-29,7
557,2159,2,84.0,2019-11-30,4
558,2160,767,84.0,2019-12-02,4
558,2161,981,84.0,2019-12-02,4
558,2162,397,84.0,2019-12-02,4
558,2163,816,96.0,2019-12-02,4
558,2164,521,90.0,2019-12-02,4
